지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm)
108,서울,2017-08-01,28.6,24.1,617,33,1428,2
108,서울,2017-08-02,30,26.6,531,33,1619,
108,서울,2017-08-03,30.2,27.2,610,33.9,1518,
108,서울,2017-08-04,30.3,25.9,600,35.3,1639,
108,서울,2017-08-05,31.4,27.6,555,34.8,1622,0
108,서울,2017-08-06,29.8,28.2,1051,34,1639,5
108,서울,2017-08-07,29.2,26.4,444,34.4,1523,
108,서울,2017-08-08,28.2,25.5,620,31,1753,
108,서울,2017-08-09,27.6,24.6,2359,32,1545,2.5
108,서울,2017-08-10,24.8,23.9,510,26.3,1517,5.5
108,서울,2017-08-11,27,23.9,248,32.4,1608,.5
108,서울,2017-08-12,27.8,23.2,545,32.6,1346,
108,서울,2017-08-13,26.3,24.2,733,28.4,1400,0
108,서울,2017-08-14,24.6,23.1,1945,27.1,1212,1.5
108,서울,2017-08-15,21.9,20.8,2236,24,12,93.5
108,서울,2017-08-16,23.3,20.5,455,26.8,1426,2
108,서울,2017-08-17,24.8,21.2,341,27.7,1449,.5
108,서울,2017-08-18,26.3,23.9,535,30.6,1620,0
108,서울,2017-08-19,26.1,23.1,609,28.7,1359,0
108,서울,2017-08-20,23.2,22,726,25.8,1,124.5
108,서울,2017-08-21,25.8,23.7,1,29.2,1627,5
108,서울,2017-08-22,27.3,23.4,610,31.5,1634,
108,서울,2017-08-23,27.2,24.6,617,30.2,1459,31.5
108,서울,2017-08-24,26.5,23.9,2400,28.1,1206,14
108,서울,2017-08-25,25.3,22.2,604,30.6,1616,
108,서울,2017-08-26,24.2,19,547,29.2,1548,
108,서울,2017-08-27,22.7,19,520,26.7,1509,0
108,서울,2017-08-28,21.5,18.3,2352,26.5,1143,9
108,서울,2017-08-29,19.5,17,2341,24,1607,
108,서울,2017-08-30,19.8,16.1,554,23.9,1715,
108,서울,2017-08-31,22.2,16.6,601,27.6,1519,
108,서울,2017-09-01,23.3,17.1,626,29.7,1608,
108,서울,2017-09-02,23.8,18.6,606,29.6,1432,
108,서울,2017-09-03,23.7,19,603,29.2,1613,
108,서울,2017-09-04,24.6,19.7,527,30.1,1433,
108,서울,2017-09-05,21.9,20.4,530,23.7,1329,0
108,서울,2017-09-06,20.6,18.5,2338,24,1135,2
108,서울,2017-09-07,22.4,17.8,354,27.5,1509,
108,서울,2017-09-08,24.3,20.4,507,29.9,1541,
108,서울,2017-09-09,23.8,19.2,622,28.2,1447,
108,서울,2017-09-10,23,19.9,546,26.1,1441,.5
108,서울,2017-09-11,21.2,18.6,654,24.6,1647,24
108,서울,2017-09-12,22.1,17.7,608,27.9,1449,
108,서울,2017-09-13,21.4,15.9,629,27.5,1526,
108,서울,2017-09-14,22.4,14.8,642,29.5,1413,
108,서울,2017-09-15,22.6,17.8,613,27.9,1534,
108,서울,2017-09-16,22,16.7,623,27.6,1449,
108,서울,2017-09-17,23.1,19,457,29.2,1458,
108,서울,2017-09-18,21.9,16.4,637,27.6,1424,
108,서울,2017-09-19,22.6,20.1,224,25.8,1442,8
108,서울,2017-09-20,19.5,14.1,630,24.9,1501,
108,서울,2017-09-21,20.3,14.2,618,27,1527,
108,서울,2017-09-22,20.6,15.4,533,26.8,1336,
108,서울,2017-09-23,21.8,17.6,227,27.3,1423,0
108,서울,2017-09-24,22.4,18.8,244,27.9,1403,0
108,서울,2017-09-25,23.4,17.4,625,30.1,1422,
108,서울,2017-09-26,25.1,19.4,627,31.4,1447,0
108,서울,2017-09-27,22.7,19.9,2355,27.3,1505,.5
108,서울,2017-09-28,19.2,14.2,2349,25.3,1331,
108,서울,2017-09-29,17.4,11.2,625,23.5,1334,
108,서울,2017-09-30,20,14.7,637,25.9,1445,
108,서울,2017-10-01,18.2,15.5,2256,21.2,1203,4
108,서울,2017-10-02,22,15.6,1,29.4,1510,1.5
108,서울,2017-10-03,17.6,13.4,656,23.6,1411,
108,서울,2017-10-04,16.7,10.7,607,24.3,1402,
108,서울,2017-10-05,18.7,13.9,531,23.4,1307,
108,서울,2017-10-06,18.9,16.2,435,23.3,1103,.5
108,서울,2017-10-07,21.9,16.9,618,28.8,1528,0
108,서울,2017-10-08,23,19.3,648,28.7,1328,
108,서울,2017-10-09,22.5,19.8,2344,27.6,1533,0
108,서울,2017-10-10,21.4,18.6,415,24.8,1347,.4
108,서울,2017-10-11,15.5,12.2,2347,21.7,1,20
108,서울,2017-10-12,11.4,8.8,2351,,,
108,서울,2017-10-13,12.8,6.1,629,18.9,1420,
108,서울,2017-10-14,14.4,9,649,20.5,1320,
108,서울,2017-10-15,15.8,9,625,23,1448,
108,서울,2017-10-16,16.6,13.6,2351,22,1439,
108,서울,2017-10-17,16.2,9.2,634,23.9,1445,
108,서울,2017-10-18,16.5,14.2,1,19.1,1147,.1
108,서울,2017-10-19,17,11.9,708,23.2,1328,
